language;pplx;ngram;inf
BG;117.39;2;73.01
BG;76.79;3;73.01
BG;73.96;4;73.01
BG;73.33;5;73.01
BG;73.12;6;73.01
BG;73.06;7;73.01
BG;73.03;8;73.01
BG;73.02;9;73.01
BG;73.02;10;73.01
BG;73.01;15;73.01
BG;73.01;20;73.01
BG;73.01;99999;73.01
CZ;232.36;2;154.87
CZ;161.15;3;154.87
CZ;155.84;4;154.87
CZ;154.89;5;154.87
CZ;154.81;6;154.87
CZ;154.77;7;154.87
CZ;154.77;8;154.87
CZ;154.78;9;154.87
CZ;154.78;10;154.87
CZ;154.85;15;154.87
CZ;154.86;20;154.87
CZ;154.87;99999;154.87
DE;178.11;2;108.27
DE;115.87;3;108.27
DE;109.4;4;108.27
DE;108.61;5;108.27
DE;108.36;6;108.27
DE;108.29;7;108.27
DE;108.27;8;108.27
DE;108.26;9;108.27
DE;108.26;10;108.27
DE;108.26;15;108.27
DE;108.27;20;108.27
DE;108.27;99999;108.27
EN;105.2486107;2;59.92
EN;67.14;3;59.92
EN;60.92;4;59.92
EN;60.12;5;59.92
EN;59.92;6;59.92
EN;59.83;7;59.92
EN;59.8;8;59.92
EN;59.78;9;59.92
EN;59.78;10;59.92
EN;59.83;15;59.92
EN;59.91;20;59.92
EN;59.92;99999;59.92
FI;446.29;2;314.22
FI;327.26;3;314.22
FI;316.49;4;314.22
FI;314.46;5;314.22
FI;314.21;6;314.22
FI;314.05;7;314.22
FI;314.06;8;314.22
FI;314.08;9;314.22
FI;314.03;10;314.22
FI;314.12;15;314.22
FI;314.19;20;314.22
FI;314.22;99999;314.22
FR;89.95;2;47.91
FR;54.84;3;47.91
FR;48.93;4;47.91
FR;48.16;5;47.91
FR;48.01;6;47.91
FR;47.93;7;47.91
FR;47.9;8;47.91
FR;47.9;9;47.91
FR;47.88;10;47.91
FR;47.89;15;47.91
FR;47.9;20;47.91
FR;47.91;99999;47.91
HU;251.4912756;2;182.1850253
HU;189.556538;3;182.1850253
HU;183.0919586;4;182.1850253
HU;182.1802616;5;182.1850253
HU;182.0948547;6;182.1850253
HU;182.0704616;7;182.1850253
HU;182.0624699;8;182.1850253
HU;182.0904501;9;182.1850253
HU;182.0869632;10;182.1850253
HU;182.1150192;15;182.1850253
HU;182.1286615;20;182.1850253
HU;182.1850253;99999;182.1850253
IT;132.2615014;2;77.80368533
IT;83.8821332;3;77.80368533
IT;78.76328818;4;77.80368533
IT;78.17681925;5;77.80368533
IT;77.9607997;6;77.80368533
IT;77.85045428;7;77.80368533
IT;77.82807066;8;77.80368533
IT;77.8214978;9;77.80368533
IT;77.81242195;10;77.80368533
IT;77.80449745;15;77.80368533
IT;77.80328418;20;77.80368533
IT;77.80368533;99999;77.80368533
PT;121.4257642;2;68.58962107
PT;74.74209193;3;68.58962107
PT;69.45788828;4;68.58962107
PT;68.83932937;5;68.58962107
PT;68.64761934;6;68.58962107
PT;68.57778492;7;68.58962107
PT;68.54469715;8;68.58962107
PT;68.52862258;9;68.58962107
PT;68.52952276;10;68.58962107
PT;68.54309007;15;68.58962107
PT;68.58741701;20;68.58962107
PT;68.58962107;99999;68.58962107
